Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
185,Kevin Huerter,26,2TM,SG,52,16,1122,5.2,12.8,0.406,2.8,8.6,0.326,2.4,4.2,0.571,0.516,0.9,1.2,0.75,0.8,3.8,4.6,3.1,1.5,0.5,1.5,2.8,14
185,Kevin Huerter,26,SAC,SG,43,15,899,5.1,12.4,0.411,2.5,8.2,0.305,2.6,4.2,0.619,0.512,0.8,1.1,0.727,0.8,4,4.8,3,1.4,0.6,1.5,2.8,13.5
185,Kevin Huerter,26,CHI,SG,9,1,223,5.3,14.4,0.368,4,10.2,0.392,1.3,4.2,0.31,0.507,1.1,1.5,0.733,1,2.9,3.9,3.6,1.6,0.2,1.6,2.7,15.8
186,Ja Morant,25,MEM,PG,38,38,1119,8.7,20.2,0.431,1.8,6.3,0.286,6.9,13.9,0.496,0.475,6.4,7.6,0.842,0.7,4.2,5,9,1.5,0.4,4.8,2.7,25.6
187,Javonte Green,31,2TM,SG,52,18,1116,3.4,7.5,0.453,1.3,3.6,0.361,2.1,3.9,0.538,0.54,1.6,2.2,0.727,1.6,4.4,6,1.5,1.8,1,0.9,2.5,9.8
187,Javonte Green,31,NOP,SG,50,18,1092,3.3,7.4,0.446,1.3,3.6,0.361,2,3.8,0.526,0.534,1.6,2.2,0.727,1.6,4.3,5.9,1.5,1.8,1,0.9,2.5,9.5
187,Javonte Green,31,CLE,SG,2,0,24,9,10.5,0.857,3,4.5,0.667,6,6,1,1,1.5,4.5,0.333,1.5,12,13.5,3,0,0,1.5,3,22.5
188,Luka Dončić,25,2TM,PG,32,32,1116,9.4,21,0.448,3.4,9.9,0.343,6,11.1,0.541,0.529,5.6,7.4,0.757,0.8,7.7,8.5,8.2,2,0.5,3.7,2.8,27.6
188,Luka Dončić,25,DAL,PG,22,22,785,9.9,21.4,0.463,3.4,9.7,0.351,6.5,11.6,0.56,0.542,5.1,6.7,0.761,0.7,7.7,8.4,7.9,2,0.4,3.4,2.7,28.4
188,Luka Dončić,25,LAL,PG,10,10,331,8,20.1,0.398,3.2,10.3,0.311,4.9,9.8,0.5,0.478,6.6,9,0.733,1.1,7.7,8.8,8.8,2.1,0.5,4.4,3.2,25.9
189,Daniel Gafford,26,DAL,C,51,28,1115,8.2,11.7,0.701,0,0,0,8.2,11.7,0.701,0.701,3.9,5.6,0.696,4.5,6.8,11.3,2.4,0.7,3.1,2,4.4,20.2
190,Obi Toppin,26,IND,PF,58,0,1112,7.3,13.6,0.537,2.3,6.6,0.348,5,7,0.714,0.621,2.1,2.6,0.808,1.3,6.2,7.5,2.9,1.2,0.6,1.6,2.7,18.9
191,Jimmy Butler,35,2TM,SF,36,36,1107,6.4,12.5,0.512,0.5,1.9,0.263,5.9,10.7,0.551,0.532,6.6,8,0.825,2.7,3.4,6,5.8,1.3,0.4,1.4,1.2,20
191,Jimmy Butler,35,MIA,PF,25,25,766,6.7,12.4,0.54,0.6,1.7,0.353,6.1,10.7,0.57,0.565,6.1,7.6,0.803,2.6,3.6,6.2,5.6,1.3,0.5,1.4,1.1,20
191,Jimmy Butler,35,GSW,SF,11,11,341,5.8,12.9,0.45,0.3,2.2,0.136,5.5,10.7,0.514,0.461,7.9,9,0.878,2.9,3,5.8,6.2,1.5,0.3,1.4,1.4,19.8
192,Sam Hauser,27,BOS,PF,53,12,1095,4.6,10.6,0.434,3.6,9,0.4,1.1,1.5,0.733,0.604,0.1,0.1,1,1.2,4.2,5.4,1.6,1.1,0.3,0.6,2.1,13
193,Gabe Vincent,28,LAL,PG,53,8,1095,3.7,9.5,0.389,2.2,6.7,0.328,1.4,2.8,0.5,0.505,0.3,0.5,0.6,0.4,1.7,2.1,2.5,1.3,0.4,1,3.6,9.9
194,Mason Plumlee,34,PHO,C,61,18,1093,3.2,5.4,0.593,0,0.1,0,3.2,5.3,0.604,0.593,2.1,3.2,0.656,3.2,9.4,12.6,3.9,0.9,1.4,1.6,4.4,8.5
195,Jaime Jaquez Jr.,23,MIA,SF,49,12,1092,5.2,11.8,0.441,0.9,3.1,0.29,4.3,8.7,0.494,0.479,3.1,4,0.775,2,5.4,7.4,4.2,1.7,0.3,2.4,2.3,14.5
196,Luke Ken0rd,28,MEM,SG,49,8,1090,5.3,11.1,0.477,3.1,6.9,0.449,2.2,4.2,0.524,0.617,1.5,1.7,0.882,1,3.6,4.6,5.6,1.1,0.1,1.7,1.4,15.2
197,Brandon Clarke,28,MEM,PF,57,18,1082,6.9,11.2,0.616,0,0.6,0,6.9,10.6,0.651,0.616,1.7,2.4,0.708,3.8,6,9.7,2,1.5,1,1.2,4.4,15.5
198,Cole Anthony,24,ORL,PG,58,20,1068,6.8,16.2,0.42,2.1,6.2,0.339,4.7,10,0.47,0.485,2.8,3.4,0.824,1.4,4.6,6,5.5,1.4,0.8,3.2,4.6,18.6
199,T.J. McConnell,32,IND,PG,58,0,1064,8.5,16.2,0.525,0.4,1.4,0.286,8,14.9,0.537,0.537,1.6,2.1,0.762,1,3.8,4.8,9,2.3,0.5,2.9,2,18.9
200,Jordan Hawkins,22,NOP,SG,45,6,1045,5.8,15.5,0.374,3,9,0.333,2.8,6.5,0.431,0.471,2.3,2.7,0.852,0.7,3.5,4.2,1.8,1,0.7,1.6,1.2,16.7
201,Jeremy Sochan,21,SAS,PF,41,19,1045,6.5,11.9,0.546,0.7,2.1,0.333,5.8,9.7,0.598,0.576,2.2,3.1,0.71,3.3,6.4,9.7,3.6,1.2,0.8,2.3,3.4,16
202,Kevin Porter Jr.,24,2TM,SG,55,2,1043,7.1,16.4,0.433,1,4.1,0.244,6.1,12.3,0.496,0.463,2.3,3.4,0.676,1.1,5.5,6.6,6.2,2,0.4,3.6,2.8,17.6
202,Kevin Porter Jr.,24,LAC,SG,45,2,884,7,16.6,0.422,1.1,4.3,0.256,5.9,12.3,0.48,0.455,2,3.1,0.645,1.2,5.3,6.5,5.9,1.8,0.4,3.4,2.9,17.1
202,Kevin Porter Jr.,24,MIL,SG,10,0,159,7.9,15.6,0.506,0.7,2.9,0.241,7.2,12.7,0.567,0.529,4.3,5.2,0.827,0.7,6.3,7,7.9,3.4,0,4.5,2.3,20.8
203,Nicolas Batum,36,LAC,PF,60,3,1029,2.3,5.9,0.39,1.9,5,0.38,0.4,0.9,0.444,0.551,0.5,0.6,0.833,1.3,4.4,5.7,2.4,1.4,0.9,0.8,3,7.1
204,Sam Merrill,28,CLE,SG,53,2,1016,4.4,11.1,0.396,3.5,9.6,0.365,0.9,1.5,0.6,0.554,1,1,1,1,2.8,3.8,2.7,1.3,0.4,0.8,3.4,13.2
205,Dejounte Murray,28,NOP,PG,31,31,1012,6.9,17.6,0.392,1.8,6.2,0.29,5.1,11.4,0.447,0.443,3.6,4.4,0.818,0.6,6.5,7.1,8.1,2.2,0.4,3.8,2.2,19.3
206,Paolo Banchero,22,ORL,PF,30,30,1012,8.8,20,0.44,1.8,6,0.3,6.9,14,0.493,0.485,6.4,9.1,0.703,1.1,6.3,7.5,5.2,0.8,0.8,3.3,2.3,25.7
207,Matas Buzelis,20,CHI,SF,61,12,1011,5.7,13.2,0.432,2.1,6.3,0.333,3.6,6.9,0.522,0.511,1.9,2.3,0.826,1.5,5.2,6.7,1.7,0.6,1.9,1.6,3.5,15.5
208,Tari Eason,23,HOU,PF,41,7,1008,6.8,14,0.486,1.7,4.6,0.37,5.1,9.3,0.548,0.546,2.1,2.8,0.75,3.3,5.9,9.2,2,2.8,1.3,1.7,3.7,17.4
209,Jalen Suggs,23,ORL,PG,35,35,1002,7.1,17.3,0.41,2.7,8.7,0.31,4.3,8.6,0.5,0.488,3.5,4,0.875,0.8,4.2,5.1,4.6,1.8,1.2,3.7,3.5,20.4
210,Zach Edey,22,MEM,C,48,40,1000,6.6,11.3,0.584,0.6,1.6,0.375,6,9.7,0.619,0.611,2.3,3.2,0.719,5.8,7.6,13.4,1.5,1,2.1,2.4,4.4,16.1
211,Brandon Boston Jr.,23,NOP,SG,42,10,993,6,13.8,0.435,1.8,5.1,0.353,4.2,8.7,0.483,0.5,2.4,3.1,0.774,1,3.8,4.9,3.3,1.9,0.3,1.9,2.6,16.2
212,Kyle Filipowski,21,UTA,C,52,13,992,5.6,10.7,0.523,1.7,4.3,0.395,3.9,6.4,0.609,0.603,2.1,3.3,0.636,2.5,7.5,10,3.6,1,0.3,2.4,4.1,14.8
213,Ron Holland,19,DET,SF,63,1,986,5.4,11.8,0.458,1.1,4.6,0.239,4.3,7.2,0.597,0.504,2.6,3.3,0.788,1.1,4.9,6,2,1.4,0.3,1.9,4.1,14.5
214,Jamal Shead,22,TOR,PG,56,1,981,4.8,11.4,0.421,1.7,5,0.34,3.1,6.4,0.484,0.496,1.1,1.4,0.786,0.5,2,2.5,7.4,1.1,0.2,3.2,4.1,12.4
215,Luke Kornet,29,BOS,C,55,10,981,4.3,6.5,0.662,0,0,0,4.3,6.5,0.662,0.662,1.9,2.5,0.76,4.7,5.4,10.1,3.4,1,2.1,1,3.2,10.5
216,Terance Mann,28,2TM,SG,48,12,977,4.6,9.6,0.479,1.6,3.9,0.41,3,5.7,0.526,0.563,1.1,1.8,0.611,1.8,3.3,5,3.1,1.3,0.5,1.3,3.4,11.8
216,Terance Mann,28,LAC,SG,37,12,732,4.3,9.6,0.448,1.3,3.7,0.351,3,5.9,0.508,0.516,1.1,1.6,0.688,1.6,3.7,5.3,2.9,1.4,0.5,1.2,3.3,11
216,Terance Mann,28,ATL,SG,11,0,245,5.4,9.7,0.557,2.5,4.6,0.543,2.9,5.1,0.569,0.686,1,2.4,0.417,2.4,2.1,4.4,3.7,0.9,0.3,1.6,3.5,14.4
217,Aaron Gordon,29,DEN,PF,36,27,973,6.2,12.1,0.512,1.6,3.9,0.41,4.6,8.2,0.561,0.579,3.2,4,0.8,2.1,4.4,6.5,4.2,0.7,0.3,1.7,2.1,17.2
218,Simone Fontecchio,29,DET,SF,56,0,969,4.2,11,0.382,2.1,6.6,0.318,2.1,4.3,0.488,0.477,2.2,2.7,0.815,1.4,4.8,6.3,1.9,0.9,0.4,1.7,2.6,12.7
219,Cody Martin,29,CHO,SF,39,8,967,4.3,10,0.43,1.5,4.6,0.326,2.8,5.4,0.519,0.505,1.3,1.8,0.722,1.5,5.1,6.6,3.3,1.6,1,1.6,2.7,11.4
220,Ryan Dunn,22,PHO,SF,55,28,965,5,11.6,0.431,1.9,6.2,0.306,3.1,5.4,0.574,0.513,0.4,0.9,0.444,1.9,4.5,6.5,1.6,0.8,1.1,0.9,4.4,12.3
221,Moussa Diabaté,23,CHO,C,52,7,958,4.2,7.1,0.592,0,0.1,0,4.2,7.1,0.592,0.592,1.9,3.3,0.576,5.6,7.4,13,1.7,1.4,1.3,1.7,3.1,10.3
222,Ben Sheppard,23,IND,SG,47,8,956,3.8,8.8,0.432,2.2,6,0.367,1.6,2.7,0.593,0.557,0.7,0.8,0.875,1.2,3.6,4.8,2.2,1.1,0.5,0.6,3.6,10.6
223,Nick Richards,27,2TM,C,43,30,952,5.5,9.3,0.591,0,0.1,0,5.5,9.3,0.591,0.591,3.9,5.3,0.736,4,9.9,14,1.6,0.4,1.7,2.3,4.1,14.9
223,Nick Richards,27,CHO,C,21,9,440,5.2,9.3,0.559,0,0.1,0,5.2,9.2,0.565,0.559,4.8,7.1,0.676,4.2,8.8,12.9,2.3,0.6,2.1,2.7,3.9,15.3
223,Nick Richards,27,PHO,C,22,21,512,5.7,9.4,0.606,0,0.1,0,5.7,9.3,0.613,0.606,3.1,3.8,0.816,3.9,10.9,14.8,1,0.3,1.4,2,4.2,14.5
224,Caleb Martin,29,PHI,SF,31,24,943,3.9,8.9,0.438,1.3,3.3,0.394,2.6,5.5,0.473,0.511,1.8,2.8,0.643,1.6,3.6,5.2,2.6,1.3,0.8,1.6,2.4,10.7
225,Brice Sensabaugh,21,UTA,SF,51,6,932,6.8,15.5,0.439,3.4,9.3,0.366,3.4,6.2,0.548,0.548,1.7,1.9,0.895,1.2,3.9,5.1,2.6,1,0.2,2.8,2.9,18.8
226,Ben Simmons,28,2TM,PG,38,24,931,4.1,7.5,0.547,0,0,0,4.1,7.5,0.547,0.547,0.9,1.3,0.692,1.4,6.3,7.7,9.8,1.3,0.7,3.5,3.6,9.2
226,Ben Simmons,28,BRK,PG,33,24,825,4.1,7.4,0.554,0,0,0,4.1,7.4,0.554,0.554,0.8,1.1,0.727,1.3,6.2,7.5,10,1.1,0.7,3.8,3.5,8.9
226,Ben Simmons,28,LAC,PG,5,0,106,4.8,8.2,0.585,0,0,0,4.8,8.2,0.585,0.585,2,2.4,0.833,2,6.8,8.8,8.5,2.4,1,0.7,3.7,11.5
227,Kristaps Porziņģis,29,BOS,C,32,32,926,8,16.9,0.473,3,7.4,0.405,5,9.5,0.526,0.562,4.5,5.6,0.804,1.9,6.5,8.4,2.4,1,2,1.5,3.5,23.6
228,Tyrese Martin,25,BRK,SG,44,6,924,5.1,12.6,0.405,2.6,7.7,0.338,2.5,4.9,0.51,0.508,1.3,1.7,0.765,1.8,4.4,6.2,2.8,0.9,0.2,2.1,1.8,14.1
229,Brandon Miller,22,CHO,SF,27,27,924,7.7,19.1,0.403,4.1,11.4,0.36,3.7,7.7,0.481,0.51,2.6,3.1,0.839,1,4.1,5.1,3.8,1.1,0.8,3,2.9,22.1
230,Dean Wade,28,CLE,PF,42,26,921,3.2,8,0.4,2.2,6.5,0.338,1,1.5,0.667,0.538,0.5,1,0.5,1.6,6.2,7.9,2.4,1.3,0.7,0.7,3.2,9.2
231,Trey Lyles,29,SAC,PF,50,2,920,4.2,10.3,0.408,2.3,6.7,0.343,1.9,3.6,0.528,0.519,1.4,1.9,0.737,2.1,6.7,8.8,2.1,1.1,0.8,1.1,2.3,12.1
232,Nick Smith Jr.,20,CHO,SG,42,23,915,5.6,14.7,0.381,2.5,8,0.313,3.1,6.6,0.47,0.466,0.7,0.8,0.875,0.4,2.9,3.3,3.4,0.6,0.2,2.1,2.1,14.4
233,Jose Alvarado,26,NOP,PG,39,11,914,5,12.5,0.4,3,8,0.375,2,4.5,0.444,0.52,1.5,1.8,0.833,0.7,3,3.7,6.7,2.1,0.4,1.6,2.8,14.5
234,Trayce Jackson-Davis,24,GSW,C,51,37,912,6.4,11.1,0.577,0,0,0,6.4,11.1,0.577,0.577,2.1,3.4,0.618,4.3,7.1,11.4,3.8,0.9,1.4,1.6,2.7,14.8
235,Andre Jackson Jr.,23,MIL,SG,55,43,898,3.4,7.3,0.466,1.2,2.9,0.414,2.2,4.4,0.5,0.548,0.4,0.7,0.571,2.3,4.3,6.6,3,1.2,0.5,2.1,4.2,8.4
236,Jaden Ivey,22,DET,SG,30,30,898,7.6,16.6,0.458,2.5,6.2,0.403,5.1,10.4,0.49,0.533,3.4,4.7,0.723,1.6,3.4,5,4.8,1.1,0.4,3.6,2.7,21.2
237,Ausar Thompson,22,DET,SF,41,30,896,6.8,12.2,0.557,0.3,1.3,0.231,6.5,10.9,0.596,0.57,2.1,3.6,0.583,2.9,5.3,8.2,3.9,3.1,0.8,2.2,4.4,16.1
238,Kevon Looney,28,GSW,C,57,6,895,4.7,9.4,0.5,0,0.1,0,4.7,9.3,0.505,0.5,1.8,3.2,0.563,6.3,8.8,15.2,3.9,1.5,1.1,1.3,5.1,11.3
239,Jo0than Isaac,27,ORL,PF,55,0,894,4.5,11,0.409,1.4,5.4,0.259,3.1,5.6,0.554,0.473,2.2,3.3,0.667,3.9,6.7,10.7,1.1,1.8,2.5,0.9,3,12.6
240,Kel'el Ware,20,MIA,C,44,18,894,6.5,11.8,0.551,1.1,3.2,0.344,5.4,8.7,0.621,0.597,1.4,1.9,0.737,2.8,8.6,11.4,1.6,1,1.9,1.5,2.6,15.4
241,Jarace Walker,21,IND,PF,57,2,888,4.7,10.3,0.456,1.9,5.1,0.373,2.8,5.1,0.549,0.549,1.5,2.4,0.625,0.9,6,6.9,3.2,1.9,0.9,2.4,3.6,12.8
242,Tidjane Salaün,19,CHO,PF,46,8,878,3.1,9.9,0.313,1.6,5.9,0.271,1.4,4,0.35,0.394,1.8,2.5,0.72,2.2,5.7,7.9,1.9,1,0.5,1.7,2.3,9.6
243,Jo0than Mogbo,23,TOR,PF,49,11,877,4.1,9.2,0.446,0.6,1.9,0.316,3.6,7.3,0.493,0.478,1.8,2.6,0.692,3.2,5.1,8.3,3.3,1.6,1,1.8,4.2,10.7
244,Precious Achiuwa,25,NYK,C,39,8,877,4.7,9.1,0.516,0.4,1.2,0.333,4.4,7.9,0.557,0.538,1.3,2.1,0.619,3.4,6.4,9.9,1.7,1.4,1.3,1.3,2.5,11.1
245,Bogdan Bogdanović,32,2TM,SG,34,3,873,5.3,13.8,0.384,2.8,8.8,0.318,2.5,5,0.5,0.486,1.6,1.9,0.842,0.6,3,3.6,3.3,1.2,0.3,2.1,3.5,14.9
245,Bogdan Bogdanović,32,ATL,SG,24,0,598,5,13.5,0.37,2.6,8.8,0.295,2.3,4.7,0.489,0.467,1.8,2,0.9,0.7,3.3,4,2.9,1.2,0.4,2.2,3.4,14.4
245,Bogdan Bogdanović,32,LAC,SG,10,3,275,5.9,14.4,0.41,3,8.8,0.341,2.9,5.6,0.518,0.514,1,1.4,0.714,0.3,2.5,2.7,4.1,1,0.3,2,3.5,15.8
246,Chris Boucher,32,TOR,PF,50,0,862,7.6,15.5,0.49,2.9,8.1,0.358,4.7,7.4,0.635,0.584,2.8,3.6,0.778,2.9,6.4,9.4,1.4,1,1,1.2,2.8,21
247,Ja'Kobe Walter,20,TOR,SG,43,10,860,5,12.4,0.403,1.8,5.7,0.316,3.3,6.8,0.485,0.476,2,2.7,0.741,1.7,3.4,5.1,2.3,1.3,0.3,1.7,3.3,13.8
248,Noah Clowney,20,BRK,PF,37,18,853,4.7,12.6,0.373,3.1,8.8,0.352,1.6,3.8,0.421,0.496,2.2,2.5,0.88,1.5,4.6,6.1,1.3,0.8,0.8,1.6,3.7,14.7
249,Jordan Clarkson,32,UTA,SG,32,9,852,7.6,18.7,0.406,3.2,8.8,0.364,4.4,9.9,0.444,0.492,4,5,0.8,0.9,3.4,4.4,5.2,1.1,0.3,2.8,2.1,22.4
250,Jalen Smith,24,CHI,C,55,1,841,7,14.9,0.47,2.9,8.3,0.349,4.1,6.5,0.631,0.567,2.8,3.4,0.824,3.3,9.8,13.2,2.3,0.6,1.7,1.5,3.8,19.6
251,Donovan Clingan,20,POR,C,49,19,835,5.1,9.3,0.548,0.3,1,0.3,4.8,8.2,0.585,0.565,1.7,2.8,0.607,5.9,8.8,14.6,1.8,1,3.3,2.5,5.7,12.3
252,Jo0than Kuminga,22,GSW,PF,32,10,832,8.4,18.3,0.459,1.7,5,0.34,6.7,13.3,0.504,0.505,4.7,7.3,0.644,1.9,5,6.9,3,1.3,0.8,2.2,2.6,23.2
253,Jeremiah Robinson-Earl,24,NOP,PF,48,6,831,4.5,9.8,0.459,1.6,4.6,0.348,2.9,5.2,0.558,0.541,1.4,1.6,0.875,3.3,5.9,9.2,2.3,1.3,0.3,1.3,2.4,11.9
254,Julian Phillips,21,CHI,SF,61,3,828,4,9.2,0.435,1.6,5,0.32,2.4,4.2,0.571,0.522,2,2.7,0.741,2.2,3.1,5.3,1,1.1,0.7,1,3.6,11.7
255,Max Strus,28,CLE,SF,33,20,827,4.5,10.7,0.421,3.3,8.6,0.384,1.3,2.1,0.619,0.575,0.5,0.6,0.833,1.3,4.7,6.1,4.5,0.9,0.4,1.3,3.1,12.8
256,Vit Krejci,24,ATL,PG,39,15,811,4.3,9.5,0.453,2.5,6.5,0.385,1.8,3.1,0.581,0.584,0.9,1.3,0.692,0.7,4.1,4.7,4.7,1.2,0.8,1.6,3.3,11.9
257,Johnny Juzang,23,UTA,SG,45,10,810,5.4,12.8,0.422,3.4,9.1,0.374,2,3.7,0.541,0.555,1.4,1.7,0.824,1.3,4.1,5.5,1.9,0.9,0.3,0.9,3.9,15.7
258,Cameron Payne,30,NYK,PG,56,1,797,6.2,15.1,0.411,3.3,9,0.367,2.9,6.1,0.475,0.52,1.9,2.1,0.905,0.5,3.1,3.6,6.7,1.5,0.5,1.6,3.9,17.6
259,Justin Champagnie,23,WAS,SF,42,15,777,5.7,11.2,0.509,2.1,5.5,0.382,3.6,5.7,0.632,0.603,1.6,2.3,0.696,2.9,6.1,9,1.8,1.7,1.2,1.7,3.3,15
260,Lonzo Ball,27,CHI,PG,35,14,777,4.1,11.3,0.363,3.1,9,0.344,1,2.2,0.455,0.5,1,1.3,0.769,1.2,4.3,5.5,5.3,2.2,0.8,1.9,2.5,12.4
261,Garrison Mathews,28,ATL,SG,44,2,776,4.5,11.2,0.402,3.7,9.5,0.389,0.7,1.7,0.412,0.567,2.9,3.6,0.806,0.6,3.2,3.8,2.6,1.2,0.6,1.3,3.6,15.5
262,Mark Williams,23,CHO,C,30,27,771,8.5,14.6,0.582,0,0,0,8.5,14.6,0.582,0.582,4.6,5.9,0.78,4.3,9.5,13.8,3.2,0.9,1.7,1.7,3.5,21.7
263,Eric Gordon,36,PHI,SG,39,13,768,4.1,9.6,0.427,2.6,6.4,0.406,1.5,3.1,0.484,0.563,1.7,2.3,0.739,0.4,1.8,2.2,3,1.2,0.6,1.3,1.5,12.5
264,Dereck Lively II,20,DAL,C,32,25,768,5.8,8.3,0.699,0,0,0,5.8,8.3,0.699,0.699,2.1,3.2,0.656,4.6,7.1,11.8,3.9,0.8,2.5,1.8,4.4,13.7
265,Jaxson Hayes,24,LAL,C,40,19,766,4.9,6.9,0.71,0,0.1,0,4.9,6.8,0.721,0.71,2.2,3,0.733,2.6,5.9,8.6,2,1,1.9,1.5,4.4,12.1
266,Vasilije Micić,31,2TM,PG,37,16,766,4.5,12.8,0.352,2.1,5.9,0.356,2.3,7,0.329,0.434,1.6,1.9,0.842,0.9,3.1,4.1,6,0.7,0,3.5,2.1,12.6
266,Vasilije Micić,31,CHO,PG,36,16,764,4.5,12.9,0.349,2.1,5.9,0.356,2.4,7,0.343,0.43,1.6,1.9,0.842,0.9,3.2,4.1,6,0.7,0,3.5,2.1,12.7
266,Vasilije Micić,31,PHO,PG,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Dalano Banton,25,POR,PG,50,0,762,6.9,16.3,0.423,2.6,7.2,0.361,4.3,9.1,0.473,0.503,3.1,4.4,0.705,0.9,3.7,4.5,5,1.5,1.1,3,1.9,19.6
268,Cody Williams,20,UTA,SG,37,12,761,2.7,8.3,0.325,1.1,4,0.275,1.6,4.3,0.372,0.392,1.3,1.7,0.765,1.1,2.8,3.9,2.4,0.9,0.5,1.6,3.3,7.9
269,Seth Curry,34,CHO,SG,51,9,744,5.7,12.1,0.471,3,6.6,0.455,2.7,5.5,0.491,0.595,1,1.2,0.833,1.1,3,4.1,1.6,1.1,0.3,1.1,2.2,15.3
270,Ricky Council IV,23,PHI,SF,53,4,742,5.2,13.1,0.397,1.7,5.9,0.288,3.5,7.2,0.486,0.462,3.3,4,0.825,1.7,3.8,5.5,3,1.2,0.3,1.4,1.9,15.4
271,Alex Caruso,30,OKC,SG,39,1,739,4.4,10.5,0.419,2.1,6.2,0.339,2.3,4.3,0.535,0.519,0.7,0.8,0.875,1.4,3.9,5.3,5,3.2,0.9,1.2,3.6,11.5
272,Kris Murray,24,POR,SF,53,2,727,4.4,9.7,0.454,1,3.9,0.256,3.4,5.7,0.596,0.505,0.8,2.1,0.381,2.7,3.3,6,2.3,1.1,0.6,1.3,2.3,10.7
273,Kenrich Williams,30,OKC,PF,50,1,722,5.5,11.2,0.491,2.2,5.7,0.386,3.3,5.5,0.6,0.589,0.8,0.9,0.889,2.3,5.7,8.1,3,1.5,0.3,1.4,3.6,14
274,Andre Drummond,31,PHI,C,38,21,715,5.7,11.2,0.509,0.2,0.9,0.222,5.5,10.3,0.534,0.518,2.7,4.4,0.614,5.3,9.9,15.2,1.7,2,0.8,2.8,4.6,14.2
275,Jusuf Nurkić,30,2TM,C,32,26,714,4.6,10.3,0.447,1.1,3.8,0.289,3.5,6.5,0.538,0.5,3,4.4,0.682,3,11.2,14.2,3.6,1.6,1.2,3.5,4.5,13.3
